Title,Ingredients
凉拌蟹味菇,"['1斤蟹味菇', '适量盐', '少许香油', '适量酱油', '2根葱']"
红糟肉,"['适量里脊肉', '少许笋片', '少许葱姜末', '适量葱白段', '一大勺红糟', '少许盐', '适量糖', '适量水淀粉', '适量料酒', '适量酱油']"
煎高粱米面饼,"['适量高粱米面', '1-2鸡蛋', '适量糖', '少许水']"
干豆角肉沫,"['一把干豇豆', '80克肉末', '2勺生抽', '3片姜片', '适量盐', '1勺剁椒', '1勺蚝油']"
燕麦巧克力杏仁曲奇超快手饼干不加糖,"['110克即食燕麦', '70克黄油', '80克巧克力法芙娜66%', '30克低筋面粉', '25克玉米淀粉', '15克可可粉', '3克小苏打', '30克全麦面粉', '1.5克盐', '20克蜂蜜', '3g没有可不加香草膏', '20牛奶或淡奶油', '30g放里面20g裹面杏仁片']"
双重补铁【肉沫蛋羹】,"['3个鸡蛋', '适量肉沫', '适量蒜末', '适量葱段']"
小高姐的魔法调料-皮塔饼,"['4克盐', '360克面粉', '250克温水', '3克酵母', '12克橄榄油（后加）']"
上海炸猪排,"['4-8片猪肉', '适量料酒', '半包面包糠', '一茶匙盐', '1-2只鸡蛋']"
糖炒年糕,"['50克年糕', '适量黄糖', '适量苔菜']"
空气炸锅烤南瓜,['南瓜']
冬笋菌菇排骨老鸭煲（高压锅版）,"['半只老鸭', '适量排骨', '一颗冬笋', '一小块姜', '一盒海鲜菇']"
西瓜造型脆米饼/炒米糕/米花糖 超简单,"['20g黄油', '150g棉花糖', '少量色素', '200g脆米rice bubbles', '少量巧克力豆']"
御好烧风味吐司 |太阳猫早餐,"['1大把卷心菜', '1大把紫甘蓝', '2片吐司', '1大把芝士', '适量御好烧酱', '适量蛋黄酱', '4片火腿']"
香菇酱油炒饭@Makin-,"['一碗隔夜饭', '适量干香菇', '适量小葱', '一个鸡蛋', '一勺酱油', '适量蚝油', '适量盐']"
红烧肉炖八爪鱼,"['2斤章鱼', '1斤五花肉', '2片姜', '3粒冰糖', '1勺老抽', '1勺料酒', '2勺生抽', '1个大料', '5个干辣椒', '1片香叶', '5瓣大蒜', '2勺蚝油']"
菠萝糖醋排骨（懒人版）,"['随意菠萝丁', '若干…根据自己胃口啦…我一个人吃的…差不多一斤排骨', '适量葱', '适量姜', '1勺盐', '2勺酱油', '3勺醋', '4勺糖', '5勺开水']"
电饭煲蛋糕,"['135克低筋面粉', '6个鸡蛋', '80克牛奶', '80克玉米油', '30克（蛋黄用）细砂糖', '90克（蛋清用）细砂糖', '10滴 左右白醋或柠檬汁', '3克（此方中没有）👀个人喜好蛋糕与不放泡打粉']"
樱花水果慕斯,"['250g消化饼干', '80g黄油', '200g奶酪奶油', '150g酸奶', '200g淡奶油', '80g糖粉', '35g吉利丁片', '5滴柠檬汁', '10g朗姆酒', '一个橙子', '适量芒果～火龙果', '200g雪碧', '适量樱花', '50g水']"
花蛤汤,"['花蛤', '姜', '大蒜', '葱头', '大葱', '老酒', '盐', '味精']"
土豆紫薯羹,"['1个土豆', '只要放土豆的3分之1的份量紫薯', '食盐']"
肉松夹馅饼干,"['100g黄油', '1个鸡蛋', '175g低粉', '15g杏仁粉', '45g糖粉', '适量芝麻', '30g肉松']"
芝土焗红薯,"['1条 (大小自己喜欢红薯', '50克(看红薯大小，放满就好)马苏里拉']"
21天减肥法 中8天打卡,"['会不掉秤听说 吃樱桃', '超级秘籍番茄熬汤 海带调味 很美味', '加入喜欢的青菜', '只能一点点盐']"
家常软曲奇饼干,"['100克低筋面粉', '20克杏仁粉', '35-40克黄油', '20-30克糖粉', '10克红糖', '1个鸡蛋', '1克盐', '1-2克小苏打', '适量干果等添加辅料']"
低脂减肥秋葵玉米沙拉,"['1个鸡蛋', '1/2勺橄榄油', '1克盐', '酌量黑木耳', '8根秋葵', '100克玉米粒', '1/5个彩椒']"
酱油鸡翅,"['6鸡翅', '一小碗酱油', '适量葱姜蒜', '1克胡椒粉', '1克十三香', '适量砂糖', '适量生粉', '1勺耗油', '1勺老抽']"
西红柿鸡蛋疙瘩汤,"['1个西红柿', '一小截葱', '1个鸡蛋', '若干面粉', '适量盐', '1-2滴香油', '适量食用油']"
卡通小狗蛋糕,"['3片8寸蛋糕胚', '500动物奶油', '适量水果']"
烤箱地瓜干,['1个红薯']
照烧比目鱼,"['1只比目鱼', '少许姜', '少许蒜头', '少许生抽', '少许盐', '少许现磨白胡椒粉', '少许蜂蜜', '少许葱', '少许柠檬']"
橘子皮,"['随便橘子皮', '适量生油', '适量酱油', '适量蒜头']"
炒西葫芦西红柿,"['1小个西葫芦', '1个西红柿', '克盐', '1小勺白糖', '2颗蒜', '1小段葱']"
厨房小白版：辣椒炒肉拌饭,"['2个青椒', '300克猪肉', '2瓣大蒜', '4个小米椒', '2勺酱油', '适量盐', '一点点鸡精']"
🍋锡纸烤巴沙鱼,"['1片巴沙鱼', '1勺蚝油', '1勺生抽', '适量孜然粉', '适量黑胡椒', '适量料酒', '适量盐', '适量糖', '2瓣蒜', '2-3片柠檬', '配菜：洋葱，娃娃菜']"
家常小炒肉,"['20克食用油', '220克五花肉', '5克生姜', '20克料酒', '15克生抽', '8克老抽', '2.5克盐', '15克+10克大蒜', '2只红线椒', '10只绿线椒', '10克老干妈豆豉酱']"
椰香十足的椰浆版🥥•低糖椰蓉小方,"['250ml牛奶', '400ml椰浆', '80克玉米淀粉', '30克细砂糖', '（可自行添加）淡奶油', '40克椰蓉']"
椒盐土豆,"['500g小土豆', '小葱', '3瓣蒜瓣', '椒盐', '食用油']"
抹茶芝士慕斯,"['#饼干底', '40g黄油', '100g奥利奥碎', '#芝士慕斯', '460g芝士', '110g牛奶', '90g细糖', '15g吉利丁', '5g朗姆酒', '190g淡奶油', '20g细糖', '#抹茶奶冻', '202g全脂牛奶', '153g淡奶油', '38g细糖', '10g抹茶粉', '3g香草精', '10g吉利丁', '#千层酥', '125g低筋粉', '125g高筋粉', '8g抹茶粉', '20g糖', '4g盐', '140g水', '40g黄油', '116g片状油']"
天然酵母欧包记录,"['40克天然酵母', '200克面粉', '160克水', '4克盐']"
超软红豆吐司（面包机）,"['4克酵母（新良）', '165克纯牛奶', '260克高筋面粉（展艺）', '1个鸡蛋', '40克细砂糖', '1克盐', '26克黄油（安佳）', '40克低筋面粉（展艺）', '120克自制红豆沙']"
辣子鸡丁（我用的鸡腿）,"['20粒花椒', '20个干辣椒', '2根葱', '克糖', '5瓣蒜', '3片姜', '适量克盐', '适量勺料酒', '4只鸡腿', '1个鸡蛋清', '适量生粉']"
秘制快手    酸菜扣肉,"['200克五花肉', '100克细酸菜', '3勺红烧酱油', '1勺蚝油', '2勺料酒', '半勺甜辣酱', '半勺鸡汁', '2勺红油', '3个八角', '少许小葱']"
【新片场】《情人味》孤单的果冻,"['10克玫瑰花茶', '4克吉利丁粉', '10克玫瑰酱']"
婴儿辅食时蔬猪肉肠,"['60克鸡蛋', '30克猪瘦肉', '10克菠菜叶', '20克西兰花', '60克小白嘴山药去皮']"
龙猫蛋糕,"['10个鸡蛋(带壳60克左右)', '76克玉米油', '180克牛奶', '200克低筋粉', '140克细砂糖', '2克竹碳粉(1)', '5克水', '2克竹碳粉(2)', '5克水', '#夹馅儿#', '280克淡奶油', '25克细砂糖', '#装饰#', '适量融化白巧克力', '适量融化黑巧克力']"
紫糯米粢饭团,"['1/2杯大米', '1杯糯米', '1根油条', '适量肉松', '2个咸鸭蛋黄', '适量花生碎', '适量芝麻碎']"
茄盒+煎饼,"['2饭勺面粉', '1个圆茄子', '1小把韭菜', '1个青椒', '3调味勺盐', '2调味勺五香粉']"
茴香苗猪肉馅水饺,"['500g茴香苗', '500g猪肉', '适量葱姜', '一小把花椒', '适量饺子馅料', '适量花生油香油料酒酱油蚝油盐']"
河南烩面,"['500克面粉', '15克盐', '230克水', '克海带', '朵木耳', '克黄花菜']"
灯心草煲瘦肉,"['二串灯心草', '200克猪肉', '二粒蜜枣', '适量姜']"
草菇白菜心,"['白菜心', '鲜草菇', '冬笋片', '盐', '料酒', '鸡精', '蚝油', '水电费', '葱花', '姜末', '高汤']"
土釜盐焗鸡,"['1只鸡', '1包盐焗鸡粉', '1根葱', '若干片姜', '随意根玉米']"
《厨艺大师》Gorden班尼迪克蟹肉饼第九季第五集（下）水波蛋,"['2个鸡蛋', '适量白醋', '适量盐', '适量柠檬汁', '1只珍宝蟹蟹肉', '适量胡椒', '适量橄榄油', '适量柠檬皮屑', '适量香葱末', '适量红椒粉']"
双紫蔬果汁,"['四分之一个紫甘蓝', '15颗紫葡萄']"
素馅饺子,"['500g面粉', '200g水', '10朵木耳', '6朵香菇', '5克盐', '1勺生抽', '1大勺欣和黄豆酱', '一小团金丝瓜', '一团粉条', '三根茭白', '1大勺蒜末', '2-3大勺菜籽油', '1勺花椒粉']"
芋头烧肉,"['看自己芋头', '一块肉(肥瘦均匀)', '几根葱', '一小块姜', '两瓣蒜', '两个八角', '一点花椒', '适量辣椒酱(应该是..吧)', '适量蚝油', '适量酱油', '适量盐', '适量生粉']"
五花肉炒蒜心,"['克五花肉', '蒜心']"
〖上班族晚餐〗薏仁冬瓜排骨汤,"['4*4cm左右的一块冬瓜', '一小块仔排', '一小吧薏仁米', '大拇指指甲盖大小的一块姜', '盐，水']"
黑糖核桃吐司,"['种面团', '175克高筋面粉', '100克常温水', '2克酵母', '主面团', '45克牛奶', '38克黑糖', '13克全蛋', '75克高筋面粉', '2克酵母', '3克盐', '25克黄油', '15颗红枣', '5克朗姆酒']"
烤香蕉片,['2根香蕉']
超简单的饺子蘸酱,"['2勺生抽', '1勺适量芝麻油', '3勺蒜蓉辣椒酱', '1勺陈醋', '一根葱', '适量 饺子汤']"
海盐热巧,"['两勺全脂奶粉', '一勺nutella巧克力酱', '几颗棉花糖', '少许海盐', '150ml热水']"
啤酒鸭,"['瓶啤酒1', '块桂皮2', '个八角3', '粒花椒20-30', '克白糖少量', '勺生抽2', '只鸭1', '片姜6', '勺料酒1', '片香叶2-3', '个干辣椒6-8']"
鳕鱼皮杏鲍菇芋艿汤,"['适量黑鳕鱼边角料（最好就鱼骨，没皮那么腥）', '几个芋艿', '适量杏鲍菇', '适量喜马拉雅粉盐', '适量多彩胡椒', '可省牛至', '按需1片姜', '适量油']"
什锦炒大麦,"['100克大麦粒', '30克胡萝卜', '30克冬笋', '20克嫩豌豆', '葱花', '盐', '花椒粉', '咖喱粉', '橄榄油']"
卤水豆腐,"['一斤豆腐', '适量川味卤水', '一勺花椒面', '一勺鸡精', '一大勺川式红油', '适量酥黄豆', '适量葱']"
香椿炒蛋,"['200克香椿', '4-5个鸡蛋', '稍微多些 适量油', '少许 适量盐', '几滴醋']"
红薯蜂蜜蛋糕,"['#可做一个6寸蛋糕', '2个鸡蛋', '50g细砂糖/蜂蜜', '35g低筋面粉', '75g黄油/椰子油', '220g牛奶', '1小勺香草精', '240g红薯泥', '适量枫糖浆']"
南方-板栗地瓜糖水,"['半个红薯', '若干片姜片', '适量克冰糖', '适量克红糖', '25个左右板栗']"
自制杂发糕（电饭锅蒸）,"['500克面粉', '200克南瓜', '150克香芋', '50克绿豆', '1个鸡蛋', '3勺蜂蜜', '5克酵母', '20颗红枣']"
高粱糯米糍,"['糯米，高粱米', '熟花生碎，熟芝麻，白糖', '枸杞']"
自制辣椒酱,"['1千克辣椒', '500克大蒜', '500克油', '5克白酒', '适量各种香料']"
虫草花排骨鲍鱼汤,"['适量虫草花', '5只鲍鱼', '3片姜', '适量盐', '适量料酒']"
皮皮虾馅饺子,"['200克皮皮虾', '300克猪肉馅', '500克韭菜', '30毫升，2大勺耗油', '15毫升，1大勺生抽']"
酸汤挂面,"['挂面', '鸡蛋', '小葱', '瑶柱  （可选）', '盐', '白胡椒粉', '芝麻香油', '猪油', '香醋', '生抽']"
排骨土豆焖饭p,"['个土豆', '克排骨', '片姜', '克油', '根胡萝卜', '根葱', '勺生抽', '勺料酒', '克冰糖', '瓣蒜', '克白糖', '片姜片', '克盐']"
简单版红枣银耳汤,"['1朵银耳', '7、8颗红枣', '随意冰糖']"
徐先生和谢小姐的菜（醋泡花生）,"['适量花生', '适量小米醋', '适量盐', '适量细砂糖', '适量小米椒', '适量鸡精']"
小白入门  菜花炒西红柿,"['菜花', '西红柿', '胡萝卜', '淀粉', '蒜']"
红烧鸡块,"['3只鸡腿肉', '适量葱丝', '适量姜末', '适量蒜末', '适量干辣椒', '10粒花椒', '2勺老抽', '2勺生抽', '1勺料酒', '适量盐', '适量十三香', '1勺白糖', '1勺蚝油', '适量鸡精', '适量味精', '适量水']"
辣萝卜丝饺子🥟,"['2根（适中大小）萝卜', '少许虾皮', '适量葱', '适量盐', '适量生抽', '适量鸡粉', '少许香油', '8、9个小米椒', '3、4瓣蒜', '可多猪油', '少许白糖']"
紫薯奶糕,"['三个紫薯', '适量牛奶']"
巧克力纸杯蛋糕,"['2个鸡蛋', '200克巧克力', '60克低筋面粉', '20克糖粉', '65克牛奶']"
韩式泡菜炒饭,"['1碗米饭', '小半个洋葱', '3片培根', '3大勺韩式泡菜', '一勺韩式辣酱', '一个鸡蛋']"
清炒豆芽菜,"['10克料酒', '15克油', '350克绿豆芽', '少许盐']"
酱油炒饭,['饭']
巧克力淋面,"['50纯可可脂巧克力', '50淡奶油', '15黄油']"
汗蒸房的烤鸡蛋,"['6个鸡蛋', '10克盐', '2勺白醋']"
柠檬蜂蜜柚子茶,"['个柚子', '勺蜂蜜', '克冰糖', '个柠檬', '克水']"
赤豆薏仁祛湿茶,"['15克薏米', '15克赤小豆', '5克茯苓', '10克芡实']"
超简单懒人版宝宝虾皮粉,['250克虾皮']
烧鸡公,"['半根大葱', '2勺花椒面', '5根小米辣', '4瓣蒜', '4片姜', '2个八角', '1块桂皮', '半只公鸡', '2个土豆', '5朵香菇', '适量生抽', '适量老抽', '适量盐', '适量糖']"
泡沫咖啡拿铁,"['6克速溶咖啡粉（不可以是三合一那种）', '7克水', '10克白砂糖or黄砂糖']"
皮蛋拌豆腐,"['豆腐一盒，', '皮蛋三个。']"
熬熬熬猪🐷油,['用量:6斤食材:板油']
盘丝饼,"['200克面粉', '120克温水', '3克盐', '适量花生油']"
印度薄饼在家做,"['300克高筋面粉', '3克盐', '35克糖', '一汤匙炼奶', '1只鸡蛋', '适量三花淡奶', '30克牛油']"
养生少女粉紫薯肉松海苔麻薯软欧包,"['78克牛奶', '93克淡奶油', '100克火龙果汁', '4克食盐', '27克白砂糖', '40克蜂蜜', '400克高筋面粉', '4克酵母粉', '发面团的方法参照我另一篇【拉丝老味道面包的新做法】即可。所以之后的步骤从一次发酵后开始讲。', '#馅料', '80克葡萄干', '约400克紫薯', '6小片海苔', '80克肉松', '100克麻薯', '8颗核桃仁']"
低脂无糖八宝粥,"['少量大米', '适量黑米', '适量红豆', '适量小米', '适量薏米', '4-8颗红枣', '适量绿豆', '适量藜麦']"
基础家庭日本料理－－盐烤秋刀鱼,"['一条秋刀鱼', '8g盐']"
怎样给杏仁去皮和制作杏仁粉？,"['杏仁', '开水', '凉水', '冰块']"
醋鸡蛋-赛螃蟹（向往生活）无姜版-,"['1-2个鸡蛋', '3-4勺醋', '一丢丢味极鲜']"
黑椒杏鲍菇炒培根,"['半个洋葱', '一根杏鲍菇', '适量培根', '3勺黑胡椒酱', '适量盐']"
一次发酵松软小面包,"['1个(50克左右）鸡蛋', '270克牛奶', '80克糖', '20克奶粉', '480克高筋面粉', '5克盐', '40克黄油', '5克干酵母']"
[黄小厨教学]麻辣烫,"['葱姜蒜', '豆瓣酱辣椒酱', '各种你想吃的蔬菜肉丸']"
家常菜｜青椒炒鸡蛋 微辣咸香,"['3个鸡蛋', '4～5个青椒', '1小勺盐', '少许生抽']"
无糖凉拌笋丝,"['1根莴笋', '2根火腿肠', '4瓣大蒜', '适量生抽', '适量盐', '适量姜', '适量味精', '1个干辣椒', '适量耗油']"
我的水晶寿桃（奶黄水晶包）,"['2个鸡蛋共117g', '63.5克白砂糖', '64克蓝风车淡奶油', '65克德运纯牛奶', '27.5克百钻中筋小麦粉', '27.5克展艺澄粉', '30.5克总统黄油', '70克展艺澄粉', '20克展艺玉米淀粉']"
天津老式炖排骨-顺便烩菜,"['1500克排骨', '5片姜', '半根葱', '3颗大料', '2小块桂皮', '若干冰糖', '若干土豆', '若干粗粉条', '10克盐']"
韭菜鸡蛋饺子,"['一把韭菜', '5个鸡蛋', '半个生姜', '3根葱', '2勺生抽', '1勺耗油', '1勺香油', '1勺盐']"
清炒虾仁,"['25g毛豆粒', '500g对虾', '少许糖盐料酒生粉', '25g青椒', '30g色拉油']"
土豆焖饭,"['适量大米', '适量土豆', '葱.蒜.花生油.生抽.老抽.白糖.精盐.料酒……']"
桃胶银耳红枣汤,"['一个丑耳', '5克桃胶', '4克雪燕', '若干红枣', '若干枸杞', '适量冰糖']"
花生碎炒水萝卜叶,"['水萝卜叶', '生花生米', '盐', '鸡精', '花生油']"
真宗五花肉炒笋干,"['克笋干', '克五花肉', '适量油', '适量葱']"
榨菜炒肉丝,"['1包榨菜', '适量肉丝', '3朵鲜香菇', '适量生抽', '适量料酒', '适量白糖']"
简单的酸奶拉花,"['200克酸奶', '用量:适量食材:红糖']"
豆沙椰蓉蛋糕卷,"['40g低筋面粉', '40g玉米油', '10g+30g白糖', '4个鸡蛋', '40g牛奶', '适量豆沙馅', '适量椰蓉']"
宝宝红枣溶豆,"['2个蛋白', '8克玉米淀粉', '几滴柠檬汁', '25g奶粉', '适量红枣泥']"
蒲烧鳗鱼～鳗妙寿司,"['一包鳗鲡堂蒲烧烤鳗', '2个鸡蛋', '1杯大米', '1杯糯米', '20克水', '20克玉米淀粉', '半根黄瓜', '少许肉松', '少许糖、盐、米醋']"
百变肉松小餐包,"['见“美版肉松”肉松', '见“手撕牛奶吐司”面团']"
蜜汁酱烤鸡腿,"['1个(250克)鸡全腿', '1大勺酱油', '1大勺甜面酱', '1大勺糖', '1/4小勺五香粉', '1/4小勺姜粉', '1/4小勺大蒜粉', '30克麦芽糖', '30克水']"
锡纸牛肉,"['克牛肉', '个洋葱', '胡萝卜', '根芹菜', '把金针菇', '香菜']"
牛奶玉米粒,"['克牛奶', '按照个人口味适量没有牛奶的话，也可以用奶粉替代', '克50玉米粒', '适量黄油']"
斑斓猕猴桃卷🥝🍃,"['蛋糕体：', '60克斑斓汁', '约65克鸡蛋四个（带壳）', '50克细砂糖', '58克低筋面粉', '45克玉米油', '夹馅：', '260克淡奶油', '20克细砂糖', '5个中等大小的猕猴桃']"
#吐司狂魔#奶酪培根开口三明治,"['一片马苏里拉奶酪', '一根培根', '两个小番茄', '两片鲜罗勒叶']"
冷藏发酵松饼（不用泡打粉）,"['200g低筋面粉', '1g酵母', '50g蜂蜜', '20g牛油（融化）', '2个（约70g）蛋', '220g牛奶']"
清炖牛肉,"['2000克左右牛肉', '三厘米长左右，3-4段葱', '2-3毫米厚，3-4片（根据姜大小）姜', '2-3个八角', '半根到1根（根据桂皮长短）桂皮', '3-4片（根据香叶大小）香叶', '半个洋葱头', '料酒小汤勺3-4汤勺，白酒减半料酒或白酒', '根据口味适量，建议少放盐', '根据大小3-4颗山楂', '单晶冰糖8-10粒冰糖', '根据口味2-3小汤勺黄酱或豆瓣酱（选放）']"
木须肉,"['2个鸡蛋', '根黄瓜', '8-10朵木耳', '半根胡萝卜', '一小块里脊肉', '生抽、盐、蚝油']"
手撕白切鸭（咸柠檬蘸酱）,"['适量姜', '20粒花椒', '2-3片香叶', '1个大料（八角）', '适量蒜头', '1个咸柠檬', '1颗腌酸梅', '适量盐', '适量生抽', '少量糖', '少量油', '适量料酒', '1只鸭']"
霉豆腐,"['适量豆腐', '适量稻草', '一个纸箱', '适量高度白酒', '适量辣椒面', '适量花椒']"
豆黄金天然鲜腐竹炝椿芽儿，你学会了吗？,"['157g豆黄金天然腐竹', '2把香椿芽', '适量食用盐', '适量味精', '适量小磨香油', '适量干辣椒段']"
猪肉饺子陷、包子馅,"['250克肉（2肥8瘦）', '适量盐', '适量姜末', '适量木耳（根据自己喜好）', '适量蚝油', '适量十三香', '适量葱花', '适量生抽', '适量料酒', '适量白砂糖']"
香酥豆沙饼,"['普通面粉200克', '红豆沙200克', '清水或牛奶适量', '油适量']"
白酌虾,"['500g基围虾', '3片生姜', '5根葱段', '1碟醋']"
不同凡响的糖水苹果,"['3个苹果', '120克砂糖', '4-5片柠檬', '半碗纯水']"
凉拌糖醋萝卜（凤梨萝卜）,"['1/3根凤梨萝卜', '2勺白糖', '1勺果醋', '1/2勺盐', '1小撮白芝麻粒']"
炒土豆片,"['2个土豆', '一颗大葱', '2颗蒜', '豆油', '盐', '酱油']"
水蜜桃香瓜纤维素饮料,"['2个水蜜桃', '1/4个蜜宝香瓜', '1杯纯水']"
茄汁鸡肉丸,"['一勺水', '1个鸡蛋', '1块鸡胸肉', '2个西红柿', '1/3根胡萝卜', '1片姜', '1勺料酒', '半勺白胡椒', '4朵香菇', '三勺玉米粒', '1勺盐', '2瓣蒜', '2根香葱']"
自制猪肉丸,"['500猪后腿肉（鱼肉）', '12克盐', '蛋清1~2个        （可以不放只放淀粉水，出来又是另一种口感）', '糖10克', '淀粉水25克', '（加入黑、白胡椒粉，自制蒜酥，香菇，小蔬菜等不同口味。', '图片蔬菜肉丸给小孩吃各种蔬菜是肉的1.5倍量。']"
「孜然羊排」不油不膻,"['克羊排', '勺孜然粉', '克油', '个八角', '粒花椒', '克盐', '勺料酒', '2个彩椒', '5根香芹']"
腌白萝卜皮,"['一根白萝卜', '各一个青红辣椒', '适量葱', '适量生抽、糖']"
香嫩猪舌头,"['克猪舌头', '青椒', '红椒', '大葱', '耗油', '淀粉', '料酒']"
青椒火腿炒蛋,"['4个鸡蛋', '7/8个青椒', '1根火腿肠', '1根小葱']"
蟹粉豆腐,"['1包蟹会蟹粉', '1盒嫩豆腐', '1个熟咸蛋黄', '15克油', '5克姜丝']"
烤虾干,"['3斤虾', '适量料酒，姜，葱，盐，白糖']"
厦门小吃-蛤蜊面线糊,"['300克左右花蛤、文蛤、蛤蜊、白米虾', '一把面线', '1小勺盐', '1小勺白胡椒粉', '3片姜丝', '1勺红薯淀粉']"
酥皮奶黄月饼,"['饼皮', '65克黄油（软化）', '13克奶粉', '15克糖粉', '1克盐', '15克全蛋液（常温）', '10克炼乳', '13克椰浆', '105克低粉', '13克玉米淀粉', '13克吉士粉', '内馅', '32克黄油（软化）', '45克糖', '6克炼乳', '22克奶粉', '20克玉米淀粉', '16克吉士粉', '140g熟咸蛋黄']"
甜心丝绒蛋糕,"['#酸奶油', '10g白醋', '160ml牛奶', '#蛋糕体', '80g黄油', '200g糖粉', '65g鸡蛋', '13g可可粉', '260g低筋面粉', '1.3g盐', '1.3g小苏打', '170g酸奶油', '适量红丝绒液', '2g白醋', '#奶油奶酪霜', '106g奶油奶酪', '55g黄油', '55g糖粉']"
营养奶昔（草莓+香蕉）低脂,"['1根香蕉', '5个草莓', '250ml牛奶']"
海鲜贝壳意面,"['1磅（9两）贝壳面', '1磅（9两）西兰花', '1/4杯特级初榨橄榄油', '3瓣大蒜', '1/8茶匙红辣椒碎', '1/2茶匙犹太盐', '1/4茶匙现磨黑胡椒粉', '1磅（9两）蛤蜊', '1磅（9两）贻贝', '1杯白葡萄酒', '1/3杯新鲜平叶欧芹']"
零失败零基础玉米烧排骨,"['500克新鲜排骨', '排骨分量的3分之二甜玉米', '5颗大蒜子或者独蒜', '1汤勺酿造生抽', '一勺盐', '适量新鲜青辣椒', '适量新鲜小米辣', '少量新鲜香葱', '一大罐现烧烫的白开水']"
瑞典太妃糖( •̀∀•́ )Julknäck,"['2dl淡奶油', '2dl砂糖', '2dl糖浆', '2汤勺黄油', '个人喜爱杏仁/杏仁碎（不是粉）']"
超级下饭菜～酱扒茄子,"['1个茄子', '3-4瓣蒜', '3-4勺淀粉', '1勺黄豆酱/黄酱/东北大酱', '1勺豆瓣酱', '半勺盐', '1勺酱油', '1勺蚝油', '1勺花椒粉', '半碗清水']"
【无面粉】可可杏仁饼干的各种玩法,"['25gSunnybon可可豆瓣Cacao Nibs', '80g杏仁粉', '10g奇亚籽', '20g椰蓉', '25-35g糖', '1/4勺泡打粉', '2只鸡蛋', '40g黄油']"
桂花乌龙茶冻,"['10克乌龙茶', '10克桂花干', '5克大菜丝/琼脂', '50克红糖', '500毫升水']"
父亲节领带蛋糕,"['4个蛋黄', '4个蛋白', '10g蛋黄用糖', '40g油', '40g水', '40g低粉', '两小勺可可粉', '30g蛋白用糖']"
上汤豆苗,"['克豌豆苗', '适量盐', '适量油', '瓣蒜', '1个皮蛋', '适量瘦肉', '适量姜', '1条火腿']"
可以剥皮的香蕉馒头,"['250克中低筋面粉1', '100克南瓜泥', '2克酵母', '0-5克糖', '5克玉米油', '250克中低筋面粉2', '100克牛奶', '2克酵母', '0-5克糖', '5克玉米油', '适量可可粉']"
自制酸奶机酸奶,"['500ml牛奶', '5mg安琪益生菌']"
黑芝麻肉松饼干,"['适量肉松', '100克黄油', '1个鸡蛋', '160克低筋面粉', '80克熟黑芝麻粉', '30—60克糖']"
南瓜鸡肉焖饭×油焖茭白便当，初恋的味道！,"['200g南瓜', '4个鲜香菇', '1/4个洋葱', '半块鸡胸脯肉', '2根茭白', '2小段大葱', '食用油、生抽、盐、糖、老抽调料']"
自制豆腐（白醋版）,"['每杯大约86克左右黄豆（豆浆机量杯两杯，大约172克左右）', '20克+80克（大约）白醋+水', '800ml豆浆用水', '']"
咖喱辣椒鸡胸肉by田螺姑娘（附鸡汤、高汤做法）,"['半斤鸡胸肉一块', '盐半茶匙', '咖喱粉和辣椒粉各半茶匙到一茶匙']"
土豆回锅肉,"['300g五花肉', '200g左右的（就一个）土豆', '几颗花椒', '2匙郫县豆瓣（绢城）', '少许料酒', '2片切丝姜', '1个蒜', '少许老抽', '20粒左右豆豉', '适量油', '适量盐', '适量鸡精']"
藕粉桂花糖糕,"['90克藕粉', '20克自制桂花糖', '1克香甜泡打粉', '10克淀粉', '70克牛奶']"
拍黄瓜！！,"['1根黄瓜', '半勺多生抽', '1.5勺醋', '适量盐', '半勺多点点糖', '适量香菜', '2-3瓣蒜', '适量辣椒油']"
一个＂鲜＂字来形容的粥（干贝芹菜粥）,"['30克干贝', '1根芹菜']"
薯片（油炸版）,"['1个（中等大小）土豆', '适量食用油', '适量椒盐', '适量奥尔良粉']"
超级简单无敌好吃的虎皮尖椒,"['12个青椒', '6个小米辣', '1小块腊肉', '6瓣蒜', '2勺豆豉', '调味料每步说，这里就不啰嗦了']"
健康美味冰淇淋,"['2根香蕉', '2个芒果']"
烤红薯条,"['2个红薯', '10克盐', '半勺胡椒粉', '1勺油']"
椰蓉花朵面包,"['250克高筋', '5克酵母', '1个鸡蛋', '30克糖', '100克牛奶', '25克黄油', '椰蓉馅料', '1个鸡蛋', '适量葵花油', '适量椰蓉粉', '30克糖']"
黑麦乳清吐司,"['400克高筋面粉', '100克黑麦粉', '360g乳清', '60克白砂糖', '6克盐', '4克干酵母', '40克黄油']"
相思条,"['500G低筋面粉', '250G牛油', '50G奶粉', '200G砂糖或者糖粉', '1个鸡蛋', '30G吉士粉', '适量果酱']"
彩椒炒牛肚头,"['200克牛肚头', '30克青椒', '30克红椒', '30克黄椒', '5克葱', '3克姜', '5克蒜', '1勺油', '1匙糖', '1匙料酒', '2匙盐', '0.2匙味精']"
恐龙蛋麻薯,"['400克麻薯预拌粉', '145克/3个鸡蛋', '80克黄油', '120克牛奶', '10克黑芝麻', '10克 可不加白糖']"
亲子丼（无味淋版）,"['2碗米饭', '2个鸡蛋', '半个洋葱', '1块鸡胸肉', '生抽', '料酒', '昆布高汤/荞麦面蘸面汁/水', '糖（红糖好于白糖）', '植物油']"
